image,avg-shannon20-80,avg-shannon-nan20-80,avg-shannon80-160,avg-shannon-nan80-160,avg-shannon160-240,avg-shannon-nan160-240,first_order-shannon,edge-density
10_BW.jpg,4.524262931840818,4.524262931840818,4.550567386637189,4.550567386637189,4.537836434541888,4.537836434541888,4.366015115322014,220.7114195034104
11_BW.jpg,4.447375220686786,4.447375220686786,4.47671348538155,4.47671348538155,4.462584849971613,4.462584849971613,4.452032354538998,38.8985383321701
12_BW.jpg,4.55875230831251,4.55875230831251,4.551334585793531,4.551334585793531,4.5528834639203515,4.5528834639203515,4.547761255929592,68.76929548793727
1_BW.jpg,4.429299574871887,4.429299574871887,4.4684500833854415,4.4684500833854415,4.492149322488464,4.492149322488464,4.129906226619005,178.3597600854756
2_BW.jpg,4.526039738584984,4.526039738584984,4.508366027553663,4.508366027553663,4.5181035985112326,4.5181035985112326,4.456757553080315,89.85836474214607
3_BW.jpg,4.531764821556712,4.531764821556712,4.551321526071705,4.551321526071705,4.523599535022066,4.523599535022066,4.511273406591441,184.8007712364217
4_BW.jpg,4.149190522134085,4.149190522134085,4.240444672833091,4.240444672833091,3.9079108118669197,3.9079108118669197,4.000515009472563,85.72942875579798
5_BW.jpg,4.487289790865465,4.487289790865465,4.514371285259411,4.514371285259411,4.509796605068611,4.509796605068611,4.537490613101138,161.87048916650772
6_BW.jpg,4.489597493175177,4.489597493175177,4.5326778809578565,4.5326778809578565,4.52569075267649,4.52569075267649,4.559500409624338,188.30486190895954
7_BW.jpg,4.454397115834157,4.454397115834157,4.472550812145699,4.472550812145699,4.385944760625703,4.385944760625703,4.442862110029313,67.90775586759186
8_BW.jpg,4.402398110075181,4.402398110075181,4.490622389141842,4.490622389141842,4.456999148231638,4.456999148231638,4.476177342930958,50.4085069067246
9_BW.jpg,4.044483697014249,4.044483697014249,4.191290062843845,4.191290062843845,3.6856081887270307,3.6856081887270307,3.8794206899907544,2.555387802419612
