image,set,Fourier slope,SIGMA
net_5013_5_BW.jpg,pseudoart,-3.0354008573499174,0.03870638421608845
net_5024_8_BW.jpg,pseudoart,-2.5972628866299545,0.03195329130862994
net_5063_7_BW.jpg,pseudoart,-2.745219635962659,0.0490512032871951
net_5193_0_BW.jpg,pseudoart,-3.077727478535767,0.006478917348575557
net_5210_4_BW.jpg,pseudoart,-3.0882685803865337,0.022239262599601833
net_5225_1_BW.jpg,pseudoart,-2.7296474730957905,0.06308262351731779
net_5250_6_BW.jpg,pseudoart,-3.2103080529291326,0.11900542003166081
net_5278_4_BW.jpg,pseudoart,-3.619954199497097,0.040873499243215
net_5299_2_BW.jpg,pseudoart,-2.5918787404279326,0.015658600007551874
net_5390_4_BW.jpg,pseudoart,-2.1570061965730716,0.07858150556674337
net_5390_8_BW.jpg,pseudoart,-3.2588531280704096,0.029110516769544337
net_5496_8_BW.jpg,pseudoart,-2.0409786831186634,0.025098495696065648
